total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-18988.066	-169.649	14.797	7.298	10	ON	7.298	15.23	22.44	FD31_Lys_Checker_10.8_on_C110_thread_C2_0010_-170spin	FD31_Lys_Checker_10.8_on_C110_thread_C2	-16.019
-18987.932	-170.399	14.713	7.262	16	ON	7.262	14.779	22.395	FD31_Lys_Checker_10.8_on_C110_thread_P3_0016_-170spin	FD31_Lys_Checker_10.8_on_C110_thread_P3	-15.885
-18987.555	-169.581	15.208	7.669	11	ON	7.669	15.982	22.574	FD31_Lys_Checker_10.8_on_C110_thread_P1_0011_-170spin	FD31_Lys_Checker_10.8_on_C110_thread_P1	-15.508
-18987.216	-169.034	15.053	7.538	11	ON	7.538	15.252	22.845	FD31_Lys_Checker_10.8_on_C110_thread_Q1_0011_-169spin	FD31_Lys_Checker_10.8_on_C110_thread_Q1	-15.169
-18987.102	-135.783	15.351	7.812	3	ON	7.812	15.981	23.032	FD31_Lys_Checker_10.8_on_C110_thread_G2_0003_-136spin	FD31_Lys_Checker_10.8_on_C110_thread_G2	-15.055
-18987.041	-100.887	15.308	8.099	27	ON	8.099	15.518	22.786	FD31_Lys_Checker_10.8_on_C110_thread_R2_0027_-101spin	FD31_Lys_Checker_10.8_on_C110_thread_R2	-14.994
-18987.027	10.86	14.942	7.145	21	ON	7.145	14.94	22.877	FD31_Lys_Checker_10.8_on_C110_thread_K4_0021_11spin	FD31_Lys_Checker_10.8_on_C110_thread_K4	-14.98
-18986.893	79.388	15.498	8.104	21	ON	8.104	15.565	23.112	FD31_Lys_Checker_10.8_on_C110_thread_M2_0021_79spin	FD31_Lys_Checker_10.8_on_C110_thread_M2	-14.846
-18986.892	-169.603	14.724	7.492	12	ON	7.492	15.037	22.219	FD31_Lys_Checker_10.8_on_C110_thread_J4_0012_-170spin	FD31_Lys_Checker_10.8_on_C110_thread_J4	-14.845
-18986.736	-102.336	15.284	7.774	2	ON	7.774	15.343	23.033	FD31_Lys_Checker_10.8_on_C110_thread_Z3_0002_-102spin	FD31_Lys_Checker_10.8_on_C110_thread_Z3	-14.689
-18987.932	-170.399	14.713	7.262	16	ON	7.262	14.779	22.395	FD31_Lys_Checker_10.8_on_C110_thread_P3_0016_-170spin	FD31_Lys_Checker_10.8_on_C110_thread_P3	-15.885
-18988.066	-169.649	14.797	7.298	10	ON	7.298	15.23	22.44	FD31_Lys_Checker_10.8_on_C110_thread_C2_0010_-170spin	FD31_Lys_Checker_10.8_on_C110_thread_C2	-16.019
-18980.544	-154.773	15.636	8.264	4	ON	8.264	15.936	23.294	FD31_Lys_Checker_10.8_on_C110_thread_L1_0004_-155spin	FD31_Lys_Checker_10.8_on_C110_thread_L1	-8.497
-18980.316	-147.338	15.682	8.296	22	ON	8.296	16.049	23.268	FD31_Lys_Checker_10.8_on_C110_thread_H3_0022_-147spin	FD31_Lys_Checker_10.8_on_C110_thread_H3	-8.269
-18987.102	-135.783	15.351	7.812	3	ON	7.812	15.981	23.032	FD31_Lys_Checker_10.8_on_C110_thread_G2_0003_-136spin	FD31_Lys_Checker_10.8_on_C110_thread_G2	-15.055
-18980.997	-127.145	15.481	8.162	4	ON	8.162	15.529	23.027	FD31_Lys_Checker_10.8_on_C110_thread_Z2_0004_-127spin	FD31_Lys_Checker_10.8_on_C110_thread_Z2	-8.95
-18982.488	-110.54	15.332	8.0	21	ON	8.0	15.75	22.842	FD31_Lys_Checker_10.8_on_C110_thread_O2_0021_-111spin	FD31_Lys_Checker_10.8_on_C110_thread_O2	-10.441
-18987.041	-100.887	15.308	8.099	27	ON	8.099	15.518	22.786	FD31_Lys_Checker_10.8_on_C110_thread_R2_0027_-101spin	FD31_Lys_Checker_10.8_on_C110_thread_R2	-14.994
-18984.773	-99.376	15.634	8.391	21	ON	8.391	15.78	23.18	FD31_Lys_Checker_10.8_on_C110_thread_B2_0021_-99spin	FD31_Lys_Checker_10.8_on_C110_thread_B2	-12.726
-18980.365	-82.988	15.584	8.113	4	ON	8.113	15.609	23.206	FD31_Lys_Checker_10.8_on_C110_thread_M3_0004_-83spin	FD31_Lys_Checker_10.8_on_C110_thread_M3	-8.318
-18981.329	-73.072	15.9	8.669	15	ON	8.669	16.172	23.419	FD31_Lys_Checker_10.8_on_C110_thread_S4_0015_-73spin	FD31_Lys_Checker_10.8_on_C110_thread_S4	-9.282
