total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-19057.222	76.377	9.523	2.98	21	ON	2.98	9.649	16.011	DHR49_neg_11.5_on_C110_thread_R5_0021_76spin	DHR49_neg_11.5_on_C110_thread_R5	-100.887
-19038.192	-103.18	9.966	3.406	4	ON	3.406	10.233	16.774	DHR49_neg_11.5_on_C110_thread_E3_0004_-103spin	DHR49_neg_11.5_on_C110_thread_E3	-81.857
-19036.563	76.43	10.219	3.212	29	ON	3.212	10.554	17.432	DHR49_neg_11.5_on_C110_thread_A6_0029_76spin	DHR49_neg_11.5_on_C110_thread_A6	-80.228
-19024.298	-135.225	9.964	3.309	25	ON	3.309	10.082	16.558	DHR49_neg_11.5_on_C110_thread_B3_0025_-135spin	DHR49_neg_11.5_on_C110_thread_B3	-67.963
-19020.462	77.02	9.801	2.819	24	ON	2.819	9.878	16.635	DHR49_neg_11.5_on_C110_thread_U4_0024_77spin	DHR49_neg_11.5_on_C110_thread_U4	-64.127
-19020.08	-135.092	9.978	3.49	9	ON	3.49	10.102	16.466	DHR49_neg_11.5_on_C110_thread_S2_0009_-135spin	DHR49_neg_11.5_on_C110_thread_S2	-63.745
-19018.445	-135.645	9.942	3.371	16	ON	3.371	10.047	16.371	DHR49_neg_11.5_on_C110_thread_E6_0016_-136spin	DHR49_neg_11.5_on_C110_thread_E6	-62.11
-19017.544	43.932	9.901	3.522	10	ON	3.522	10.085	16.5	DHR49_neg_11.5_on_C110_thread_C2_0010_44spin	DHR49_neg_11.5_on_C110_thread_C2	-61.209
-19017.353	44.379	9.82	3.231	13	ON	3.231	9.936	16.346	DHR49_neg_11.5_on_C110_thread_C6_0013_44spin	DHR49_neg_11.5_on_C110_thread_C6	-61.018
-19017.163	44.224	9.898	3.155	10	ON	3.155	10.114	16.836	DHR49_neg_11.5_on_C110_thread_P2_0010_44spin	DHR49_neg_11.5_on_C110_thread_P2	-60.828
-18957.057	-175.441	18.123	6.369	29	ON	6.369	18.406	30.091	DHR49_neg_11.5_on_C110_thread_G4_0029_-175spin	DHR49_neg_11.5_on_C110_thread_G4	-0.722
