total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-18145.52	-0.182	10.333	4.109	15	ON	4.109	10.422	16.836	DHR49_neg_11.1_on_V010_thread_Y2_0015_0spin	DHR49_neg_11.1_on_V010_thread_Y2	-561.985
-18135.273	132.868	10.346	4.058	15	ON	4.058	10.373	16.823	DHR49_neg_11.1_on_V010_thread_L1_0015_133spin	DHR49_neg_11.1_on_V010_thread_L1	-551.738
-18129.098	48.197	10.534	4.22	13	ON	4.22	10.564	16.848	DHR49_neg_11.1_on_V010_thread_P1_0013_48spin	DHR49_neg_11.1_on_V010_thread_P1	-545.563
-18126.821	132.809	10.587	4.143	4	ON	4.143	10.584	16.96	DHR49_neg_11.1_on_V010_thread_B4_0004_133spin	DHR49_neg_11.1_on_V010_thread_B4	-543.286
-18126.815	-46.975	10.375	3.886	23	ON	3.886	10.481	16.585	DHR49_neg_11.1_on_V010_thread_M1_0023_-47spin	DHR49_neg_11.1_on_V010_thread_M1	-543.28
-18123.084	49.508	10.511	4.099	3	ON	4.099	10.534	17.138	DHR49_neg_11.1_on_V010_thread_J4_0003_50spin	DHR49_neg_11.1_on_V010_thread_J4	-539.549
-18120.713	-49.342	10.505	4.157	27	ON	4.157	10.485	16.853	DHR49_neg_11.1_on_V010_thread_M2_0027_-49spin	DHR49_neg_11.1_on_V010_thread_M2	-537.178
-18120.088	-48.287	10.593	4.303	7	ON	4.303	10.631	17.129	DHR49_neg_11.1_on_V010_thread_R2_0007_-48spin	DHR49_neg_11.1_on_V010_thread_R2	-536.553
-18115.773	49.771	10.345	4.049	3	ON	4.049	10.367	16.681	DHR49_neg_11.1_on_V010_thread_X3_0003_50spin	DHR49_neg_11.1_on_V010_thread_X3	-532.238
-18114.963	-48.848	10.47	4.167	9	ON	4.167	10.513	16.82	DHR49_neg_11.1_on_V010_thread_W2_0009_-49spin	DHR49_neg_11.1_on_V010_thread_W2	-531.428
-18108.378	-179.744	10.638	4.335	4	ON	4.335	10.66	17.116	DHR49_neg_11.1_on_V010_thread_S4_0004_-180spin	DHR49_neg_11.1_on_V010_thread_S4	-524.843
-18046.671	-166.404	10.527	4.19	15	ON	4.19	10.506	16.851	DHR49_neg_11.1_on_V010_thread_J3_0015_-166spin	DHR49_neg_11.1_on_V010_thread_J3	-463.136
-18049.651	-158.444	10.409	4.119	13	ON	4.119	10.48	17.089	DHR49_neg_11.1_on_V010_thread_E1_0013_-158spin	DHR49_neg_11.1_on_V010_thread_E1	-466.116
-18040.339	-140.747	10.466	4.136	8	ON	4.136	10.502	16.787	DHR49_neg_11.1_on_V010_thread_C4_0008_-141spin	DHR49_neg_11.1_on_V010_thread_C4	-456.804
-18099.485	-131.17	10.706	4.338	22	ON	4.338	10.771	17.129	DHR49_neg_11.1_on_V010_thread_I2_0022_-131spin	DHR49_neg_11.1_on_V010_thread_I2	-515.95
-18087.999	-129.618	10.469	4.259	20	ON	4.259	10.583	17.024	DHR49_neg_11.1_on_V010_thread_I2_0020_-130spin	DHR49_neg_11.1_on_V010_thread_I2	-504.464
-18083.263	-116.733	10.369	4.101	4	ON	4.101	10.413	16.772	DHR49_neg_11.1_on_V010_thread_J1_0004_-117spin	DHR49_neg_11.1_on_V010_thread_J1	-499.728
