total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-31243.955	-6.624	22.805	7.08	9	ON	7.08	22.747	40.15	FD31_Gln_Checker_12.4_on_C104_thread_J4_0009_-7spin	FD31_Gln_Checker_12.4_on_C104_thread_J4	-2.655
-31243.733	-54.966	23.034	7.058	9	ON	7.058	22.85	40.537	FD31_Gln_Checker_12.4_on_C104_thread_R3_0009_-55spin	FD31_Gln_Checker_12.4_on_C104_thread_R3	-2.433
-31243.617	-108.22	23.026	6.905	15	ON	6.905	22.847	40.653	FD31_Gln_Checker_12.4_on_C104_thread_V3_0015_-108spin	FD31_Gln_Checker_12.4_on_C104_thread_V3	-2.317
-31243.407	-120.654	23.679	7.134	18	ON	7.134	23.137	41.542	FD31_Gln_Checker_12.4_on_C104_thread_E2_0018_-121spin	FD31_Gln_Checker_12.4_on_C104_thread_E2	-2.107
-31243.304	177.48	22.961	6.85	7	ON	6.85	22.838	40.739	FD31_Gln_Checker_12.4_on_C104_thread_I2_0007_177spin	FD31_Gln_Checker_12.4_on_C104_thread_I2	-2.004
-31243.236	134.865	22.767	7.03	28	ON	7.03	22.92	40.171	FD31_Gln_Checker_12.4_on_C104_thread_S4_0028_135spin	FD31_Gln_Checker_12.4_on_C104_thread_S4	-1.936
-31243.001	-89.542	17.029	7.663	13	ON	7.663	17.01	26.747	FD31_Gln_Checker_12.4_on_C104_thread_U2_0013_-90spin	FD31_Gln_Checker_12.4_on_C104_thread_U2	-1.701
-31242.988	-112.357	16.804	7.663	20	ON	7.663	16.383	26.321	FD31_Gln_Checker_12.4_on_C104_thread_A4_0020_-112spin	FD31_Gln_Checker_12.4_on_C104_thread_A4	-1.688
-31242.981	-142.196	19.201	6.747	29	ON	6.747	19.174	32.244	FD31_Gln_Checker_12.4_on_C104_thread_G3_0029_-142spin	FD31_Gln_Checker_12.4_on_C104_thread_G3	-1.681
-31242.832	-114.01	18.138	7.605	10	ON	7.605	18.087	29.147	FD31_Gln_Checker_12.4_on_C104_thread_G1_0010_-114spin	FD31_Gln_Checker_12.4_on_C104_thread_G1	-1.532
-31242.223	-175.758	22.704	6.672	11	ON	6.672	22.911	40.322	FD31_Gln_Checker_12.4_on_C104_thread_I1_0011_-176spin	FD31_Gln_Checker_12.4_on_C104_thread_I1	-0.923
-31242.301	-163.289	21.234	7.005	26	ON	7.005	21.385	36.856	FD31_Gln_Checker_12.4_on_C104_thread_U4_0026_-163spin	FD31_Gln_Checker_12.4_on_C104_thread_U4	-1.001
-31242.169	-155.965	23.343	5.491	8	ON	5.491	23.118	42.78	FD31_Gln_Checker_12.4_on_C104_thread_P1_0008_-156spin	FD31_Gln_Checker_12.4_on_C104_thread_P1	-0.869
-31242.981	-142.196	19.201	6.747	29	ON	6.747	19.174	32.244	FD31_Gln_Checker_12.4_on_C104_thread_G3_0029_-142spin	FD31_Gln_Checker_12.4_on_C104_thread_G3	-1.681
-31242.687	-139.922	22.823	5.56	18	ON	5.56	22.582	41.709	FD31_Gln_Checker_12.4_on_C104_thread_R4_0018_-140spin	FD31_Gln_Checker_12.4_on_C104_thread_R4	-1.387
-31243.407	-120.654	23.679	7.134	18	ON	7.134	23.137	41.542	FD31_Gln_Checker_12.4_on_C104_thread_E2_0018_-121spin	FD31_Gln_Checker_12.4_on_C104_thread_E2	-2.107
-31242.988	-112.357	16.804	7.663	20	ON	7.663	16.383	26.321	FD31_Gln_Checker_12.4_on_C104_thread_A4_0020_-112spin	FD31_Gln_Checker_12.4_on_C104_thread_A4	-1.688
-31243.617	-108.22	23.026	6.905	15	ON	6.905	22.847	40.653	FD31_Gln_Checker_12.4_on_C104_thread_V3_0015_-108spin	FD31_Gln_Checker_12.4_on_C104_thread_V3	-2.317
-31242.463	-92.054	18.078	7.608	28	ON	7.608	17.724	28.884	FD31_Gln_Checker_12.4_on_C104_thread_G4_0028_-92spin	FD31_Gln_Checker_12.4_on_C104_thread_G4	-1.163
-31243.001	-89.542	17.029	7.663	13	ON	7.663	17.01	26.747	FD31_Gln_Checker_12.4_on_C104_thread_U2_0013_-90spin	FD31_Gln_Checker_12.4_on_C104_thread_U2	-1.701
-31241.857	-78.09	20.074	6.963	18	ON	6.963	20.111	34.296	FD31_Gln_Checker_12.4_on_C104_thread_G1_0018_-78spin	FD31_Gln_Checker_12.4_on_C104_thread_G1	-0.557
-31242.128	-69.028	23.801	8.127	20	ON	8.127	22.814	40.739	FD31_Gln_Checker_12.4_on_C104_thread_V4_0020_-69spin	FD31_Gln_Checker_12.4_on_C104_thread_V4	-0.828
-31243.733	-54.966	23.034	7.058	9	ON	7.058	22.85	40.537	FD31_Gln_Checker_12.4_on_C104_thread_R3_0009_-55spin	FD31_Gln_Checker_12.4_on_C104_thread_R3	-2.433
-31241.983	-40.894	16.843	9.058	28	ON	9.058	16.91	24.77	FD31_Gln_Checker_12.4_on_C104_thread_G1_0028_-41spin	FD31_Gln_Checker_12.4_on_C104_thread_G1	-0.683
-31242.385	-37.401	19.161	7.32	4	ON	7.32	18.935	31.585	FD31_Gln_Checker_12.4_on_C104_thread_R3_0004_-37spin	FD31_Gln_Checker_12.4_on_C104_thread_R3	-1.085
-31241.938	-20.021	16.981	8.913	14	ON	8.913	16.701	25.293	FD31_Gln_Checker_12.4_on_C104_thread_V1_0014_-20spin	FD31_Gln_Checker_12.4_on_C104_thread_V1	-0.638
-31241.892	-18.277	16.79	8.928	9	ON	8.928	17.001	24.749	FD31_Gln_Checker_12.4_on_C104_thread_L3_0009_-18spin	FD31_Gln_Checker_12.4_on_C104_thread_L3	-0.592
-31243.955	-6.624	22.805	7.08	9	ON	7.08	22.747	40.15	FD31_Gln_Checker_12.4_on_C104_thread_J4_0009_-7spin	FD31_Gln_Checker_12.4_on_C104_thread_J4	-2.655
-31242.155	2.931	28.829	6.343	24	ON	6.343	28.733	51.448	FD31_Gln_Checker_12.4_on_C104_thread_U4_0024_3spin	FD31_Gln_Checker_12.4_on_C104_thread_U4	-0.855
-31241.8	19.78	21.744	7.31	26	ON	7.31	21.809	37.518	FD31_Gln_Checker_12.4_on_C104_thread_Y1_0026_20spin	FD31_Gln_Checker_12.4_on_C104_thread_Y1	-0.5
-31241.951	20.3	20.746	6.961	9	ON	6.961	20.747	35.697	FD31_Gln_Checker_12.4_on_C104_thread_P3_0009_20spin	FD31_Gln_Checker_12.4_on_C104_thread_P3	-0.651
-31242.759	35.296	19.452	6.683	17	ON	6.683	19.056	32.938	FD31_Gln_Checker_12.4_on_C104_thread_J1_0017_35spin	FD31_Gln_Checker_12.4_on_C104_thread_J1	-1.459
-31242.197	41.516	20.06	7.278	4	ON	7.278	19.863	33.71	FD31_Gln_Checker_12.4_on_C104_thread_L3_0004_42spin	FD31_Gln_Checker_12.4_on_C104_thread_L3	-0.897
-31242.013	51.98	20.615	7.383	19	ON	7.383	20.413	34.918	FD31_Gln_Checker_12.4_on_C104_thread_T3_0019_52spin	FD31_Gln_Checker_12.4_on_C104_thread_T3	-0.713
-31242.604	65.948	21.784	6.741	10	ON	6.741	22.174	38.381	FD31_Gln_Checker_12.4_on_C104_thread_V3_0010_66spin	FD31_Gln_Checker_12.4_on_C104_thread_V3	-1.304
-31242.223	79.849	22.674	6.837	12	ON	6.837	23.02	40.103	FD31_Gln_Checker_12.4_on_C104_thread_U2_0012_80spin	FD31_Gln_Checker_12.4_on_C104_thread_U2	-0.923
-31242.073	87.209	16.237	8.574	17	ON	8.574	16.413	24.143	FD31_Gln_Checker_12.4_on_C104_thread_N4_0017_87spin	FD31_Gln_Checker_12.4_on_C104_thread_N4	-0.773
-31241.95	90.037	17.149	8.876	4	ON	8.876	17.016	25.523	FD31_Gln_Checker_12.4_on_C104_thread_P3_0004_90spin	FD31_Gln_Checker_12.4_on_C104_thread_P3	-0.65
-31242.503	107.122	23.566	6.461	2	ON	6.461	23.31	41.924	FD31_Gln_Checker_12.4_on_C104_thread_R2_0002_107spin	FD31_Gln_Checker_12.4_on_C104_thread_R2	-1.203
-31242.15	113.883	20.879	5.588	27	ON	5.588	20.971	37.477	FD31_Gln_Checker_12.4_on_C104_thread_O2_0027_114spin	FD31_Gln_Checker_12.4_on_C104_thread_O2	-0.85
-31241.837	123.516	26.744	8.057	18	ON	8.057	26.822	45.309	FD31_Gln_Checker_12.4_on_C104_thread_U2_0018_124spin	FD31_Gln_Checker_12.4_on_C104_thread_U2	-0.537
-31243.236	134.865	22.767	7.03	28	ON	7.03	22.92	40.171	FD31_Gln_Checker_12.4_on_C104_thread_S4_0028_135spin	FD31_Gln_Checker_12.4_on_C104_thread_S4	-1.936
-31242.722	143.92	24.042	6.929	8	ON	6.929	23.592	42.608	FD31_Gln_Checker_12.4_on_C104_thread_T2_0008_144spin	FD31_Gln_Checker_12.4_on_C104_thread_T2	-1.422
-31241.7	159.364	16.515	9.125	22	ON	9.125	16.724	24.104	FD31_Gln_Checker_12.4_on_C104_thread_H2_0022_159spin	FD31_Gln_Checker_12.4_on_C104_thread_H2	-0.4
-31241.902	166.566	23.704	7.853	3	ON	7.853	23.636	41.258	FD31_Gln_Checker_12.4_on_C104_thread_L4_0003_167spin	FD31_Gln_Checker_12.4_on_C104_thread_L4	-0.602
-31243.304	177.48	22.961	6.85	7	ON	6.85	22.838	40.739	FD31_Gln_Checker_12.4_on_C104_thread_I2_0007_177spin	FD31_Gln_Checker_12.4_on_C104_thread_I2	-2.004
