total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-17876.205	130.348	12.042	4.459	29	ON	4.459	12.066	19.785	FD31_10.8_on_V010_thread_J1_0029_130spin	FD31_10.8_on_V010_thread_J1	-551.22
-17864.374	-51.584	12.39	5.155	11	ON	5.155	12.535	19.897	FD31_10.8_on_V010_thread_P2_0011_-52spin	FD31_10.8_on_V010_thread_P2	-539.389
-17862.496	131.646	12.131	4.524	9	ON	4.524	12.178	19.995	FD31_10.8_on_V010_thread_Q1_0009_132spin	FD31_10.8_on_V010_thread_Q1	-537.511
-17856.206	131.21	12.329	4.523	11	ON	4.523	12.322	20.283	FD31_10.8_on_V010_thread_J1_0011_131spin	FD31_10.8_on_V010_thread_J1	-531.221
-17854.025	129.565	11.967	4.639	1	ON	4.639	12.122	19.592	FD31_10.8_on_V010_thread_X3_0001_130spin	FD31_10.8_on_V010_thread_X3	-529.04
-17849.484	-50.067	12.058	4.587	15	ON	4.587	12.082	19.683	FD31_10.8_on_V010_thread_S1_0015_-50spin	FD31_10.8_on_V010_thread_S1	-524.499
-17849.266	-48.677	12.113	4.864	17	ON	4.864	12.346	19.675	FD31_10.8_on_V010_thread_I3_0017_-49spin	FD31_10.8_on_V010_thread_I3	-524.281
-17849.106	130.771	12.312	4.887	13	ON	4.887	12.436	19.993	FD31_10.8_on_V010_thread_M3_0013_131spin	FD31_10.8_on_V010_thread_M3	-524.121
-17847.42	128.843	12.464	5.135	16	ON	5.135	12.508	19.99	FD31_10.8_on_V010_thread_E1_0016_129spin	FD31_10.8_on_V010_thread_E1	-522.435
-17846.584	131.182	12.447	4.776	13	ON	4.776	12.449	20.373	FD31_10.8_on_V010_thread_V3_0013_131spin	FD31_10.8_on_V010_thread_V3	-521.599
-17826.37	-179.207	12.385	5.042	28	ON	5.042	12.739	19.988	FD31_10.8_on_V010_thread_W2_0028_-179spin	FD31_10.8_on_V010_thread_W2	-501.385
-17729.272	-169.378	12.367	5.011	6	ON	5.011	12.77	19.962	FD31_10.8_on_V010_thread_N2_0006_-169spin	FD31_10.8_on_V010_thread_N2	-404.287
-17733.598	-155.403	12.611	5.217	7	ON	5.217	12.635	20.197	FD31_10.8_on_V010_thread_D4_0007_-155spin	FD31_10.8_on_V010_thread_D4	-408.613
-17747.413	-145.4	12.565	4.996	19	ON	4.996	12.622	20.382	FD31_10.8_on_V010_thread_E4_0019_-145spin	FD31_10.8_on_V010_thread_E4	-422.428
-17785.855	-130.663	12.023	4.738	15	ON	4.738	12.47	19.472	FD31_10.8_on_V010_thread_F1_0015_-131spin	FD31_10.8_on_V010_thread_F1	-460.87
-17801.395	-129.375	12.35	4.984	4	ON	4.984	12.375	19.927	FD31_10.8_on_V010_thread_B3_0004_-129spin	FD31_10.8_on_V010_thread_B3	-476.41
-17768.012	-112.881	12.372	5.102	10	ON	5.102	12.491	19.905	FD31_10.8_on_V010_thread_C1_0010_-113spin	FD31_10.8_on_V010_thread_C1	-443.027
-17755.36	-102.674	12.118	4.758	4	ON	4.758	12.14	19.675	FD31_10.8_on_V010_thread_G2_0004_-103spin	FD31_10.8_on_V010_thread_G2	-430.375
-17751.47	-92.738	12.151	4.889	13	ON	4.889	12.636	19.593	FD31_10.8_on_V010_thread_V4_0013_-93spin	FD31_10.8_on_V010_thread_V4	-426.485
-17749.167	-81.856	12.348	5.015	4	ON	5.015	12.424	19.926	FD31_10.8_on_V010_thread_W1_0004_-82spin	FD31_10.8_on_V010_thread_W1	-424.182
-17766.29	-71.207	12.309	5.079	18	ON	5.079	12.508	19.815	FD31_10.8_on_V010_thread_V3_0018_-71spin	FD31_10.8_on_V010_thread_V3	-441.305
-17741.33	-60.818	12.619	5.122	6	ON	5.122	12.916	20.408	FD31_10.8_on_V010_thread_S4_0006_-61spin	FD31_10.8_on_V010_thread_S4	-416.345
