total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist
-18943.026	-43.112	111.359	104.902	0001	OFF	0	0	0
-18943.026	-143.642	111.359	104.902	0002	OFF	0	0	0
