total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-31192.219	21.944	18.745	7.323	1	ON	7.323	18.503	30.653	FD31_Gln_Checker_11.0_on_C104_thread_I2_0001_22spin	FD31_Gln_Checker_11.0_on_C104_thread_I2	-3.664
-31191.615	-19.044	22.44	7.107	1	ON	7.107	22.974	39.446	FD31_Gln_Checker_11.0_on_C104_thread_F2_0001_-19spin	FD31_Gln_Checker_11.0_on_C104_thread_F2	-3.06
-31190.732	-133.422	21.504	6.634	22	ON	6.634	21.859	38.119	FD31_Gln_Checker_11.0_on_C104_thread_W1_0022_-133spin	FD31_Gln_Checker_11.0_on_C104_thread_W1	-2.177
-31190.693	41.981	23.34	6.937	5	ON	6.937	23.392	41.097	FD31_Gln_Checker_11.0_on_C104_thread_L1_0005_42spin	FD31_Gln_Checker_11.0_on_C104_thread_L1	-2.138
-31190.654	101.787	22.678	7.016	12	ON	7.016	23.228	40.189	FD31_Gln_Checker_11.0_on_C104_thread_I2_0012_102spin	FD31_Gln_Checker_11.0_on_C104_thread_I2	-2.099
-31190.547	-77.153	22.026	7.298	19	ON	7.298	22.485	38.63	FD31_Gln_Checker_11.0_on_C104_thread_D2_0019_-77spin	FD31_Gln_Checker_11.0_on_C104_thread_D2	-1.992
-31190.464	-149.875	23.211	7.089	17	ON	7.089	23.434	40.784	FD31_Gln_Checker_11.0_on_C104_thread_O2_0017_-150spin	FD31_Gln_Checker_11.0_on_C104_thread_O2	-1.909
-31190.405	21.896	19.395	7.125	11	ON	7.125	19.075	32.216	FD31_Gln_Checker_11.0_on_C104_thread_J3_0011_22spin	FD31_Gln_Checker_11.0_on_C104_thread_J3	-1.85
-31190.316	-97.887	21.351	6.655	10	ON	6.655	21.467	37.69	FD31_Gln_Checker_11.0_on_C104_thread_N3_0010_-98spin	FD31_Gln_Checker_11.0_on_C104_thread_N3	-1.761
-31190.272	-0.501	21.647	6.685	25	ON	6.685	21.885	38.447	FD31_Gln_Checker_11.0_on_C104_thread_L3_0025_-1spin	FD31_Gln_Checker_11.0_on_C104_thread_L3	-1.717
-31188.75	-178.376	16.994	9.27	28	ON	9.27	17.044	24.762	FD31_Gln_Checker_11.0_on_C104_thread_O2_0028_-178spin	FD31_Gln_Checker_11.0_on_C104_thread_O2	-0.195
-31188.914	-164.397	23.503	7.836	16	ON	7.836	23.337	37.702	FD31_Gln_Checker_11.0_on_C104_thread_Z2_0016_-164spin	FD31_Gln_Checker_11.0_on_C104_thread_Z2	-0.359
-31189.275	-150.668	22.025	7.387	14	ON	7.387	22.113	37.828	FD31_Gln_Checker_11.0_on_C104_thread_C1_0014_-151spin	FD31_Gln_Checker_11.0_on_C104_thread_C1	-0.72
-31190.464	-149.875	23.211	7.089	17	ON	7.089	23.434	40.784	FD31_Gln_Checker_11.0_on_C104_thread_O2_0017_-150spin	FD31_Gln_Checker_11.0_on_C104_thread_O2	-1.909
