total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-18401.562	130.767	12.046	4.53	12	ON	4.53	12.301	19.707	FD31_11.0_on_V010_thread_F4_0012_131spin	FD31_11.0_on_V010_thread_F4	-546.898
-18400.954	132.727	12.148	4.667	1	ON	4.667	12.587	19.625	FD31_11.0_on_V010_thread_U2_0001_133spin	FD31_11.0_on_V010_thread_U2	-546.29
-18399.472	-48.078	11.948	4.865	27	ON	4.865	12.884	19.127	FD31_11.0_on_V010_thread_K2_0027_-48spin	FD31_11.0_on_V010_thread_K2	-544.808
-18397.644	-48.644	11.944	4.891	1	ON	4.891	12.719	19.104	FD31_11.0_on_V010_thread_T3_0001_-49spin	FD31_11.0_on_V010_thread_T3	-542.98
-18394.607	130.817	12.041	4.971	1	ON	4.971	12.722	19.225	FD31_11.0_on_V010_thread_H2_0001_131spin	FD31_11.0_on_V010_thread_H2	-539.943
-18393.062	130.942	11.927	4.396	20	ON	4.396	12.536	19.456	FD31_11.0_on_V010_thread_J2_0020_131spin	FD31_11.0_on_V010_thread_J2	-538.398
-18387.547	133.277	11.793	4.346	21	ON	4.346	12.031	19.374	FD31_11.0_on_V010_thread_U3_0021_133spin	FD31_11.0_on_V010_thread_U3	-532.883
-18383.595	130.625	11.729	4.411	28	ON	4.411	12.235	19.048	FD31_11.0_on_V010_thread_C4_0028_131spin	FD31_11.0_on_V010_thread_C4	-528.931
-18380.489	131.467	12.3	4.799	17	ON	4.799	12.572	19.818	FD31_11.0_on_V010_thread_G2_0017_131spin	FD31_11.0_on_V010_thread_G2	-525.825
-18379.863	-49.686	11.877	4.373	6	ON	4.373	12.437	19.359	FD31_11.0_on_V010_thread_E1_0006_-50spin	FD31_11.0_on_V010_thread_E1	-525.199
-18366.819	-179.534	11.767	4.623	21	ON	4.623	12.724	19.007	FD31_11.0_on_V010_thread_S2_0021_-180spin	FD31_11.0_on_V010_thread_S2	-512.155
-18255.353	-168.847	12.024	4.938	7	ON	4.938	12.719	19.188	FD31_11.0_on_V010_thread_H1_0007_-169spin	FD31_11.0_on_V010_thread_H1	-400.689
-18244.926	-153.57	12.545	5.289	9	ON	5.289	13.126	19.816	FD31_11.0_on_V010_thread_Z2_0009_-154spin	FD31_11.0_on_V010_thread_Z2	-390.262
-18233.384	-149.58	12.067	4.505	14	ON	4.505	12.475	19.624	FD31_11.0_on_V010_thread_B1_0014_-150spin	FD31_11.0_on_V010_thread_B1	-378.72
-18332.938	-133.441	12.059	4.476	6	ON	4.476	12.575	19.618	FD31_11.0_on_V010_thread_B1_0006_-133spin	FD31_11.0_on_V010_thread_B1	-478.274
-18313.338	-129.045	12.137	4.713	24	ON	4.713	12.608	19.559	FD31_11.0_on_V010_thread_M2_0024_-129spin	FD31_11.0_on_V010_thread_M2	-458.674
-18282.082	-114.349	11.798	4.77	23	ON	4.77	12.68	18.918	FD31_11.0_on_V010_thread_L2_0023_-114spin	FD31_11.0_on_V010_thread_L2	-427.418
-18268.93	-102.565	12.232	5.198	24	ON	5.198	13.105	19.352	FD31_11.0_on_V010_thread_D1_0024_-103spin	FD31_11.0_on_V010_thread_D1	-414.266
-18272.816	-92.98	12.112	5.019	24	ON	5.019	13.022	19.304	FD31_11.0_on_V010_thread_V3_0024_-93spin	FD31_11.0_on_V010_thread_V3	-418.152
-18279.491	-80.173	11.954	4.653	1	ON	4.653	12.391	19.285	FD31_11.0_on_V010_thread_O3_0001_-80spin	FD31_11.0_on_V010_thread_O3	-424.827
-18274.173	-71.408	12.081	4.735	19	ON	4.735	13.117	19.518	FD31_11.0_on_V010_thread_S1_0019_-71spin	FD31_11.0_on_V010_thread_S1	-419.509
-18238.358	-69.512	12.728	5.651	22	ON	5.651	13.513	19.918	FD31_11.0_on_V010_thread_T4_0022_-70spin	FD31_11.0_on_V010_thread_T4	-383.694
-18367.546	-51.065	12.387	5.219	7	ON	5.219	13.286	19.658	FD31_11.0_on_V010_thread_A2_0007_-51spin	FD31_11.0_on_V010_thread_A2	-512.882
-18399.472	-48.078	11.948	4.865	27	ON	4.865	12.884	19.127	FD31_11.0_on_V010_thread_K2_0027_-48spin	FD31_11.0_on_V010_thread_K2	-544.808
-18302.888	-33.18	12.061	5.013	1	ON	5.013	12.914	19.206	FD31_11.0_on_V010_thread_S4_0001_-33spin	FD31_11.0_on_V010_thread_S4	-448.224
-18296.887	-22.563	12.255	4.91	13	ON	4.91	12.608	19.677	FD31_11.0_on_V010_thread_I4_0013_-23spin	FD31_11.0_on_V010_thread_I4	-442.223
-18288.14	-15.583	12.234	4.962	29	ON	4.962	12.681	19.573	FD31_11.0_on_V010_thread_B3_0029_-16spin	FD31_11.0_on_V010_thread_B3	-433.476
-18309.586	-0.684	12.341	5.306	22	ON	5.306	13.182	19.455	FD31_11.0_on_V010_thread_Y1_0022_-1spin	FD31_11.0_on_V010_thread_Y1	-454.922
-18297.222	0.646	12.007	4.497	4	ON	4.497	12.111	19.642	FD31_11.0_on_V010_thread_L3_0004_1spin	FD31_11.0_on_V010_thread_L3	-442.558
-18243.193	13.31	12.655	5.421	27	ON	5.421	13.136	19.971	FD31_11.0_on_V010_thread_P4_0027_13spin	FD31_11.0_on_V010_thread_P4	-388.529
