total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-25532.645	-179.671	12.34	4.842	4	ON	4.842	12.372	20.233	FD31_Gln_Checker_10.4_on_C101_thread_O1_0004_-180spin	FD31_Gln_Checker_10.4_on_C101_thread_O1	-150.062
-25527.262	179.813	12.39	4.852	8	ON	4.852	12.375	20.313	FD31_Gln_Checker_10.4_on_C101_thread_B4_0008_180spin	FD31_Gln_Checker_10.4_on_C101_thread_B4	-144.679
-25526.518	179.645	12.4	4.817	6	ON	4.817	12.386	20.346	FD31_Gln_Checker_10.4_on_C101_thread_O1_0006_180spin	FD31_Gln_Checker_10.4_on_C101_thread_O1	-143.935
-25523.225	-179.647	12.342	4.848	30	ON	4.848	12.552	20.4	FD31_Gln_Checker_10.4_on_C101_thread_T3_0030_-180spin	FD31_Gln_Checker_10.4_on_C101_thread_T3	-140.642
-25521.154	-178.857	12.117	4.43	13	ON	4.43	12.086	20.198	FD31_Gln_Checker_10.4_on_C101_thread_N4_0013_-179spin	FD31_Gln_Checker_10.4_on_C101_thread_N4	-138.571
-25519.811	179.728	12.556	4.803	3	ON	4.803	12.538	20.533	FD31_Gln_Checker_10.4_on_C101_thread_S4_0003_180spin	FD31_Gln_Checker_10.4_on_C101_thread_S4	-137.228
-25518.655	-0.648	11.955	3.978	30	ON	3.978	13.086	19.479	FD31_Gln_Checker_10.4_on_C101_thread_E4_0030_-1spin	FD31_Gln_Checker_10.4_on_C101_thread_E4	-136.072
-25518.522	179.952	12.533	5.095	26	ON	5.095	12.631	20.447	FD31_Gln_Checker_10.4_on_C101_thread_V4_0026_180spin	FD31_Gln_Checker_10.4_on_C101_thread_V4	-135.939
-25517.402	178.918	12.471	5.001	27	ON	5.001	13.097	20.286	FD31_Gln_Checker_10.4_on_C101_thread_Z2_0027_179spin	FD31_Gln_Checker_10.4_on_C101_thread_Z2	-134.819
-25517.109	-179.886	12.452	4.771	20	ON	4.771	12.422	20.526	FD31_Gln_Checker_10.4_on_C101_thread_B3_0020_-180spin	FD31_Gln_Checker_10.4_on_C101_thread_B3	-134.526
-25532.645	-179.671	12.34	4.842	4	ON	4.842	12.372	20.233	FD31_Gln_Checker_10.4_on_C101_thread_O1_0004_-180spin	FD31_Gln_Checker_10.4_on_C101_thread_O1	-150.062
-25434.017	-166.379	12.948	5.16	26	ON	5.16	13.733	20.802	FD31_Gln_Checker_10.4_on_C101_thread_V3_0026_-166spin	FD31_Gln_Checker_10.4_on_C101_thread_V3	-51.434
-25439.332	-158.803	12.854	5.33	21	ON	5.33	13.627	20.515	FD31_Gln_Checker_10.4_on_C101_thread_M3_0021_-159spin	FD31_Gln_Checker_10.4_on_C101_thread_M3	-56.749
-25485.676	-146.762	12.606	4.953	16	ON	4.953	13.538	20.254	FD31_Gln_Checker_10.4_on_C101_thread_Z2_0016_-147spin	FD31_Gln_Checker_10.4_on_C101_thread_Z2	-103.093
