total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-25638.563	58.7	32.249	4.742	15	ON	4.742	32.297	59.249	FD31_Lys_Checker_12.1_on_C101_thread_F4_0015_59spin	FD31_Lys_Checker_12.1_on_C101_thread_F4	-2.644
-25638.473	-47.614	29.902	4.652	6	ON	4.652	29.657	57.091	FD31_Lys_Checker_12.1_on_C101_thread_A2_0006_-48spin	FD31_Lys_Checker_12.1_on_C101_thread_A2	-2.554
-25638.092	-58.36	21.458	4.641	12	ON	4.641	21.43	39.829	FD31_Lys_Checker_12.1_on_C101_thread_B4_0012_-58spin	FD31_Lys_Checker_12.1_on_C101_thread_B4	-2.173
-25637.65	67.461	19.398	5.837	4	ON	5.837	19.329	34.288	FD31_Lys_Checker_12.1_on_C101_thread_Y3_0004_67spin	FD31_Lys_Checker_12.1_on_C101_thread_Y3	-1.731
-25637.502	-57.631	22.128	5.374	7	ON	5.374	22.096	40.377	FD31_Lys_Checker_12.1_on_C101_thread_L3_0007_-58spin	FD31_Lys_Checker_12.1_on_C101_thread_L3	-1.583
-25637.462	-103.567	19.122	5.299	17	ON	5.299	19.158	34.294	FD31_Lys_Checker_12.1_on_C101_thread_Q3_0017_-104spin	FD31_Lys_Checker_12.1_on_C101_thread_Q3	-1.543
-25637.366	37.787	31.496	5.255	3	ON	5.255	31.265	57.303	FD31_Lys_Checker_12.1_on_C101_thread_F3_0003_38spin	FD31_Lys_Checker_12.1_on_C101_thread_F3	-1.447
-25637.353	120.067	20.62	5.135	8	ON	5.135	20.573	37.611	FD31_Lys_Checker_12.1_on_C101_thread_R4_0008_120spin	FD31_Lys_Checker_12.1_on_C101_thread_R4	-1.434
-25637.301	-82.752	22.776	4.409	23	ON	4.409	22.721	42.644	FD31_Lys_Checker_12.1_on_C101_thread_N2_0023_-83spin	FD31_Lys_Checker_12.1_on_C101_thread_N2	-1.382
-25637.119	-3.81	21.948	5.263	17	ON	5.263	21.847	40.29	FD31_Lys_Checker_12.1_on_C101_thread_W3_0017_-4spin	FD31_Lys_Checker_12.1_on_C101_thread_W3	-1.2
-25636.209	-174.607	22.241	5.391	10	ON	5.391	22.107	40.711	FD31_Lys_Checker_12.1_on_C101_thread_U2_0010_-175spin	FD31_Lys_Checker_12.1_on_C101_thread_U2	-0.29
-25636.172	-169.867	22.331	9.321	13	ON	9.321	22.155	36.213	FD31_Lys_Checker_12.1_on_C101_thread_F3_0013_-170spin	FD31_Lys_Checker_12.1_on_C101_thread_F3	-0.253
-25636.158	-150.258	17.551	9.671	9	ON	9.671	18.619	25.323	FD31_Lys_Checker_12.1_on_C101_thread_Z1_0009_-150spin	FD31_Lys_Checker_12.1_on_C101_thread_Z1	-0.239
-25636.54	-141.486	22.204	4.466	1	ON	4.466	21.922	41.519	FD31_Lys_Checker_12.1_on_C101_thread_N4_0001_-141spin	FD31_Lys_Checker_12.1_on_C101_thread_N4	-0.621
-25636.154	-135.555	17.388	9.999	5	ON	9.999	17.675	24.92	FD31_Lys_Checker_12.1_on_C101_thread_K2_0005_-136spin	FD31_Lys_Checker_12.1_on_C101_thread_K2	-0.235
-25636.067	-120.104	20.771	8.104	8	ON	8.104	20.975	33.169	FD31_Lys_Checker_12.1_on_C101_thread_T1_0008_-120spin	FD31_Lys_Checker_12.1_on_C101_thread_T1	-0.148
-25636.397	-115.642	16.979	9.796	13	ON	9.796	17.802	24.209	FD31_Lys_Checker_12.1_on_C101_thread_S1_0013_-116spin	FD31_Lys_Checker_12.1_on_C101_thread_S1	-0.478
-25637.462	-103.567	19.122	5.299	17	ON	5.299	19.158	34.294	FD31_Lys_Checker_12.1_on_C101_thread_Q3_0017_-104spin	FD31_Lys_Checker_12.1_on_C101_thread_Q3	-1.543
-25636.198	-90.724	17.358	9.723	6	ON	9.723	18.653	24.129	FD31_Lys_Checker_12.1_on_C101_thread_D4_0006_-91spin	FD31_Lys_Checker_12.1_on_C101_thread_D4	-0.279
-25637.301	-82.752	22.776	4.409	23	ON	4.409	22.721	42.644	FD31_Lys_Checker_12.1_on_C101_thread_N2_0023_-83spin	FD31_Lys_Checker_12.1_on_C101_thread_N2	-1.382
-25636.309	-70.452	17.031	9.951	17	ON	9.951	17.668	24.225	FD31_Lys_Checker_12.1_on_C101_thread_E3_0017_-70spin	FD31_Lys_Checker_12.1_on_C101_thread_E3	-0.39
-25636.12	-66.779	17.962	10.136	20	ON	10.136	18.054	25.996	FD31_Lys_Checker_12.1_on_C101_thread_W1_0020_-67spin	FD31_Lys_Checker_12.1_on_C101_thread_W1	-0.201
-25638.092	-58.36	21.458	4.641	12	ON	4.641	21.43	39.829	FD31_Lys_Checker_12.1_on_C101_thread_B4_0012_-58spin	FD31_Lys_Checker_12.1_on_C101_thread_B4	-2.173
-25638.473	-47.614	29.902	4.652	6	ON	4.652	29.657	57.091	FD31_Lys_Checker_12.1_on_C101_thread_A2_0006_-48spin	FD31_Lys_Checker_12.1_on_C101_thread_A2	-2.554
-25636.714	-38.962	21.505	5.571	1	ON	5.571	21.316	38.958	FD31_Lys_Checker_12.1_on_C101_thread_J2_0001_-39spin	FD31_Lys_Checker_12.1_on_C101_thread_J2	-0.795
-25636.537	-24.38	23.16	4.981	3	ON	4.981	22.88	43.163	FD31_Lys_Checker_12.1_on_C101_thread_B3_0003_-24spin	FD31_Lys_Checker_12.1_on_C101_thread_B3	-0.618
-25636.506	-17.696	24.692	5.881	19	ON	5.881	24.634	44.596	FD31_Lys_Checker_12.1_on_C101_thread_F2_0019_-18spin	FD31_Lys_Checker_12.1_on_C101_thread_F2	-0.587
-25637.119	-3.81	21.948	5.263	17	ON	5.263	21.847	40.29	FD31_Lys_Checker_12.1_on_C101_thread_W3_0017_-4spin	FD31_Lys_Checker_12.1_on_C101_thread_W3	-1.2
-25636.567	5.063	20.583	5.926	22	ON	5.926	20.476	36.518	FD31_Lys_Checker_12.1_on_C101_thread_I2_0022_5spin	FD31_Lys_Checker_12.1_on_C101_thread_I2	-0.648
-25636.19	12.873	22.259	6.098	21	ON	6.098	22.083	39.57	FD31_Lys_Checker_12.1_on_C101_thread_Q2_0021_13spin	FD31_Lys_Checker_12.1_on_C101_thread_Q2	-0.271
-25636.288	28.927	16.856	9.625	17	ON	9.625	17.984	23.97	FD31_Lys_Checker_12.1_on_C101_thread_M3_0017_29spin	FD31_Lys_Checker_12.1_on_C101_thread_M3	-0.369
-25637.366	37.787	31.496	5.255	3	ON	5.255	31.265	57.303	FD31_Lys_Checker_12.1_on_C101_thread_F3_0003_38spin	FD31_Lys_Checker_12.1_on_C101_thread_F3	-1.447
-25636.083	43.428	19.015	10.053	3	ON	10.053	19.536	27.905	FD31_Lys_Checker_12.1_on_C101_thread_Z2_0003_43spin	FD31_Lys_Checker_12.1_on_C101_thread_Z2	-0.164
-25638.563	58.7	32.249	4.742	15	ON	4.742	32.297	59.249	FD31_Lys_Checker_12.1_on_C101_thread_F4_0015_59spin	FD31_Lys_Checker_12.1_on_C101_thread_F4	-2.644
-25637.65	67.461	19.398	5.837	4	ON	5.837	19.329	34.288	FD31_Lys_Checker_12.1_on_C101_thread_Y3_0004_67spin	FD31_Lys_Checker_12.1_on_C101_thread_Y3	-1.731
-25636.152	72.668	18.503	7.681	9	ON	7.681	18.766	29.488	FD31_Lys_Checker_12.1_on_C101_thread_V1_0009_73spin	FD31_Lys_Checker_12.1_on_C101_thread_V1	-0.233
-25636.203	89.021	17.857	8.612	6	ON	8.612	18.548	26.476	FD31_Lys_Checker_12.1_on_C101_thread_Q2_0006_89spin	FD31_Lys_Checker_12.1_on_C101_thread_Q2	-0.284
-25636.188	90.895	16.73	9.111	2	ON	9.111	18.074	23.468	FD31_Lys_Checker_12.1_on_C101_thread_V1_0002_91spin	FD31_Lys_Checker_12.1_on_C101_thread_V1	-0.269
-25636.228	105.504	17.169	9.736	4	ON	9.736	17.619	24.775	FD31_Lys_Checker_12.1_on_C101_thread_M3_0004_106spin	FD31_Lys_Checker_12.1_on_C101_thread_M3	-0.309
-25636.268	110.629	17.505	9.793	21	ON	9.793	18.085	25.301	FD31_Lys_Checker_12.1_on_C101_thread_S3_0021_111spin	FD31_Lys_Checker_12.1_on_C101_thread_S3	-0.349
-25637.353	120.067	20.62	5.135	8	ON	5.135	20.573	37.611	FD31_Lys_Checker_12.1_on_C101_thread_R4_0008_120spin	FD31_Lys_Checker_12.1_on_C101_thread_R4	-1.434
-25636.075	134.519	22.586	8.279	7	ON	8.279	22.62	36.898	FD31_Lys_Checker_12.1_on_C101_thread_M4_0007_135spin	FD31_Lys_Checker_12.1_on_C101_thread_M4	-0.156
-25636.087	140.415	19.913	9.53	11	ON	9.53	20.09	30.74	FD31_Lys_Checker_12.1_on_C101_thread_U1_0011_140spin	FD31_Lys_Checker_12.1_on_C101_thread_U1	-0.168
-25636.307	151.304	17.405	9.933	13	ON	9.933	17.679	25.038	FD31_Lys_Checker_12.1_on_C101_thread_Z1_0013_151spin	FD31_Lys_Checker_12.1_on_C101_thread_Z1	-0.388
-25636.565	166.4	25.098	4.559	3	ON	4.559	24.824	47.199	FD31_Lys_Checker_12.1_on_C101_thread_S1_0003_166spin	FD31_Lys_Checker_12.1_on_C101_thread_S1	-0.646
-25636.173	179.794	18.22	10.044	9	ON	10.044	18.021	26.651	FD31_Lys_Checker_12.1_on_C101_thread_J1_0009_180spin	FD31_Lys_Checker_12.1_on_C101_thread_J1	-0.254
