total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-18951.837	57.987	21.461	3.855	10	ON	3.855	21.57	40.616	FD31_Gln_Checker_10.8_on_C110_thread_K3_0010_58spin	FD31_Gln_Checker_10.8_on_C110_thread_K3	-4.232
-18951.099	-169.629	16.001	4.363	21	ON	4.363	15.556	28.384	FD31_Gln_Checker_10.8_on_C110_thread_J2_0021_-170spin	FD31_Gln_Checker_10.8_on_C110_thread_J2	-3.494
-18950.123	93.094	16.95	4.688	11	ON	4.688	16.919	30.179	FD31_Gln_Checker_10.8_on_C110_thread_L1_0011_93spin	FD31_Gln_Checker_10.8_on_C110_thread_L1	-2.518
-18949.959	14.085	24.499	5.806	16	ON	5.806	24.115	43.587	FD31_Gln_Checker_10.8_on_C110_thread_G2_0016_14spin	FD31_Gln_Checker_10.8_on_C110_thread_G2	-2.354
-18949.912	11.498	16.742	5.89	3	ON	5.89	16.158	28.128	FD31_Gln_Checker_10.8_on_C110_thread_H2_0003_11spin	FD31_Gln_Checker_10.8_on_C110_thread_H2	-2.307
-18949.88	-102.168	16.322	6.113	22	ON	6.113	15.997	27.061	FD31_Gln_Checker_10.8_on_C110_thread_D1_0022_-102spin	FD31_Gln_Checker_10.8_on_C110_thread_D1	-2.275
-18949.847	-99.326	19.041	4.957	19	ON	4.957	18.961	34.375	FD31_Gln_Checker_10.8_on_C110_thread_F4_0019_-99spin	FD31_Gln_Checker_10.8_on_C110_thread_F4	-2.242
-18949.792	93.868	17.989	4.833	27	ON	4.833	17.923	32.229	FD31_Gln_Checker_10.8_on_C110_thread_J2_0027_94spin	FD31_Gln_Checker_10.8_on_C110_thread_J2	-2.187
-18949.609	75.119	16.73	4.815	15	ON	4.815	16.537	29.543	FD31_Gln_Checker_10.8_on_C110_thread_X1_0015_75spin	FD31_Gln_Checker_10.8_on_C110_thread_X1	-2.004
-18949.571	43.728	18.625	4.715	14	ON	4.715	18.49	33.678	FD31_Gln_Checker_10.8_on_C110_thread_H3_0014_44spin	FD31_Gln_Checker_10.8_on_C110_thread_H3	-1.966
-18948.626	-170.702	16.188	7.625	11	ON	7.625	15.485	24.987	FD31_Gln_Checker_10.8_on_C110_thread_P3_0011_-171spin	FD31_Gln_Checker_10.8_on_C110_thread_P3	-1.021
-18951.099	-169.629	16.001	4.363	21	ON	4.363	15.556	28.384	FD31_Gln_Checker_10.8_on_C110_thread_J2_0021_-170spin	FD31_Gln_Checker_10.8_on_C110_thread_J2	-3.494
-18948.745	-153.9	15.488	7.818	2	ON	7.818	15.482	23.402	FD31_Gln_Checker_10.8_on_C110_thread_N2_0002_-154spin	FD31_Gln_Checker_10.8_on_C110_thread_N2	-1.14
-18948.882	-145.933	21.773	5.75	6	ON	5.75	21.523	39.283	FD31_Gln_Checker_10.8_on_C110_thread_X2_0006_-146spin	FD31_Gln_Checker_10.8_on_C110_thread_X2	-1.277
-18949.306	-137.228	17.524	5.82	1	ON	5.82	17.156	30.005	FD31_Gln_Checker_10.8_on_C110_thread_R1_0001_-137spin	FD31_Gln_Checker_10.8_on_C110_thread_R1	-1.701
-18948.708	-123.457	15.336	7.745	2	ON	7.745	15.391	23.178	FD31_Gln_Checker_10.8_on_C110_thread_E1_0002_-123spin	FD31_Gln_Checker_10.8_on_C110_thread_E1	-1.103
-18948.833	-111.075	15.398	7.694	19	ON	7.694	15.342	23.333	FD31_Gln_Checker_10.8_on_C110_thread_B3_0019_-111spin	FD31_Gln_Checker_10.8_on_C110_thread_B3	-1.228
-18949.88	-102.168	16.322	6.113	22	ON	6.113	15.997	27.061	FD31_Gln_Checker_10.8_on_C110_thread_D1_0022_-102spin	FD31_Gln_Checker_10.8_on_C110_thread_D1	-2.275
-18949.847	-99.326	19.041	4.957	19	ON	4.957	18.961	34.375	FD31_Gln_Checker_10.8_on_C110_thread_F4_0019_-99spin	FD31_Gln_Checker_10.8_on_C110_thread_F4	-2.242
-18948.971	-80.951	20.759	5.211	21	ON	5.211	20.909	37.874	FD31_Gln_Checker_10.8_on_C110_thread_L1_0021_-81spin	FD31_Gln_Checker_10.8_on_C110_thread_L1	-1.366
-18948.872	-70.267	20.786	5.873	28	ON	5.873	20.691	37.038	FD31_Gln_Checker_10.8_on_C110_thread_S3_0028_-70spin	FD31_Gln_Checker_10.8_on_C110_thread_S3	-1.267
-18948.736	-66.0	20.739	5.942	27	ON	5.942	20.528	36.849	FD31_Gln_Checker_10.8_on_C110_thread_H1_0027_-66spin	FD31_Gln_Checker_10.8_on_C110_thread_H1	-1.131
-18948.608	-59.501	15.607	7.629	28	ON	7.629	15.379	23.876	FD31_Gln_Checker_10.8_on_C110_thread_H1_0028_-60spin	FD31_Gln_Checker_10.8_on_C110_thread_H1	-1.003
-18948.396	-48.845	15.297	7.767	30	ON	7.767	15.357	23.07	FD31_Gln_Checker_10.8_on_C110_thread_Q2_0030_-49spin	FD31_Gln_Checker_10.8_on_C110_thread_Q2	-0.791
-18948.661	-34.739	15.419	7.688	5	ON	7.688	15.375	23.407	FD31_Gln_Checker_10.8_on_C110_thread_T4_0005_-35spin	FD31_Gln_Checker_10.8_on_C110_thread_T4	-1.056
-18948.636	-29.038	21.323	5.617	23	ON	5.617	21.146	38.427	FD31_Gln_Checker_10.8_on_C110_thread_K1_0023_-29spin	FD31_Gln_Checker_10.8_on_C110_thread_K1	-1.031
-18948.725	-18.817	15.285	7.89	23	ON	7.89	15.319	22.841	FD31_Gln_Checker_10.8_on_C110_thread_U1_0023_-19spin	FD31_Gln_Checker_10.8_on_C110_thread_U1	-1.12
-18948.592	-1.526	15.512	7.908	12	ON	7.908	15.547	23.255	FD31_Gln_Checker_10.8_on_C110_thread_Z3_0012_-2spin	FD31_Gln_Checker_10.8_on_C110_thread_Z3	-0.987
-18948.679	2.608	19.176	5.94	21	ON	5.94	18.904	33.535	FD31_Gln_Checker_10.8_on_C110_thread_B3_0021_3spin	FD31_Gln_Checker_10.8_on_C110_thread_B3	-1.074
-18949.959	14.085	24.499	5.806	16	ON	5.806	24.115	43.587	FD31_Gln_Checker_10.8_on_C110_thread_G2_0016_14spin	FD31_Gln_Checker_10.8_on_C110_thread_G2	-2.354
-18948.961	26.583	20.652	4.552	15	ON	4.552	20.769	38.36	FD31_Gln_Checker_10.8_on_C110_thread_N4_0015_27spin	FD31_Gln_Checker_10.8_on_C110_thread_N4	-1.356
-18948.827	37.19	15.359	7.291	6	ON	7.291	15.302	23.572	FD31_Gln_Checker_10.8_on_C110_thread_S3_0006_37spin	FD31_Gln_Checker_10.8_on_C110_thread_S3	-1.222
-18949.571	43.728	18.625	4.715	14	ON	4.715	18.49	33.678	FD31_Gln_Checker_10.8_on_C110_thread_H3_0014_44spin	FD31_Gln_Checker_10.8_on_C110_thread_H3	-1.966
-18951.837	57.987	21.461	3.855	10	ON	3.855	21.57	40.616	FD31_Gln_Checker_10.8_on_C110_thread_K3_0010_58spin	FD31_Gln_Checker_10.8_on_C110_thread_K3	-4.232
-18948.782	68.682	15.279	7.932	4	ON	7.932	15.315	22.81	FD31_Gln_Checker_10.8_on_C110_thread_V2_0004_69spin	FD31_Gln_Checker_10.8_on_C110_thread_V2	-1.177
-18949.609	75.119	16.73	4.815	15	ON	4.815	16.537	29.543	FD31_Gln_Checker_10.8_on_C110_thread_X1_0015_75spin	FD31_Gln_Checker_10.8_on_C110_thread_X1	-2.004
-18949.085	89.114	17.519	4.683	26	ON	4.683	17.33	31.367	FD31_Gln_Checker_10.8_on_C110_thread_R2_0026_89spin	FD31_Gln_Checker_10.8_on_C110_thread_R2	-1.48
-18950.123	93.094	16.95	4.688	11	ON	4.688	16.919	30.179	FD31_Gln_Checker_10.8_on_C110_thread_L1_0011_93spin	FD31_Gln_Checker_10.8_on_C110_thread_L1	-2.518
-18948.782	108.333	19.832	5.798	17	ON	5.798	19.678	35.056	FD31_Gln_Checker_10.8_on_C110_thread_Q2_0017_108spin	FD31_Gln_Checker_10.8_on_C110_thread_Q2	-1.177
-18948.651	112.503	15.476	7.874	11	ON	7.874	15.505	23.259	FD31_Gln_Checker_10.8_on_C110_thread_Z2_0011_113spin	FD31_Gln_Checker_10.8_on_C110_thread_Z2	-1.046
-18948.425	121.392	15.59	7.638	15	ON	7.638	15.407	23.84	FD31_Gln_Checker_10.8_on_C110_thread_B4_0015_121spin	FD31_Gln_Checker_10.8_on_C110_thread_B4	-0.82
-18948.403	136.566	15.646	7.774	1	ON	7.774	15.425	23.715	FD31_Gln_Checker_10.8_on_C110_thread_H1_0001_137spin	FD31_Gln_Checker_10.8_on_C110_thread_H1	-0.798
-18948.69	144.788	23.016	5.52	22	ON	5.52	22.891	41.726	FD31_Gln_Checker_10.8_on_C110_thread_R2_0022_145spin	FD31_Gln_Checker_10.8_on_C110_thread_R2	-1.085
-18948.736	159.481	15.394	7.864	13	ON	7.864	15.453	23.167	FD31_Gln_Checker_10.8_on_C110_thread_D2_0013_159spin	FD31_Gln_Checker_10.8_on_C110_thread_D2	-1.131
