total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-18432.05	-71.748	12.046	4.791	15	ON	4.791	13.462	18.989	FD15_8.9_on_V010_thread_Q3_0015_-72spin	FD15_8.9_on_V010_thread_Q3	-422.568
-18428.896	-117.37	12.396	5.116	19	ON	5.116	13.811	19.475	FD15_8.9_on_V010_thread_D4_0019_-117spin	FD15_8.9_on_V010_thread_D4	-419.414
-18426.738	-68.525	12.241	4.84	4	ON	4.84	13.65	19.353	FD15_8.9_on_V010_thread_Z1_0004_-69spin	FD15_8.9_on_V010_thread_Z1	-417.256
-18426.544	-69.005	12.144	4.676	7	ON	4.676	13.334	19.566	FD15_8.9_on_V010_thread_E2_0007_-69spin	FD15_8.9_on_V010_thread_E2	-417.062
-18419.672	118.085	12.258	4.943	18	ON	4.943	13.474	19.525	FD15_8.9_on_V010_thread_G3_0018_118spin	FD15_8.9_on_V010_thread_G3	-410.19
-18417.991	110.236	12.133	4.889	29	ON	4.889	13.546	19.156	FD15_8.9_on_V010_thread_H3_0029_110spin	FD15_8.9_on_V010_thread_H3	-408.509
-18414.069	-0.204	12.115	4.809	8	ON	4.809	13.499	19.125	FD15_8.9_on_V010_thread_X3_0008_0spin	FD15_8.9_on_V010_thread_X3	-404.587
-18411.351	-67.891	12.383	5.266	9	ON	5.266	13.757	19.147	FD15_8.9_on_V010_thread_G3_0009_-68spin	FD15_8.9_on_V010_thread_G3	-401.869
-18410.049	0.65	12.281	4.983	13	ON	4.983	13.687	19.249	FD15_8.9_on_V010_thread_I1_0013_1spin	FD15_8.9_on_V010_thread_I1	-400.567
-18409.899	-115.522	12.046	4.807	27	ON	4.807	13.461	19.026	FD15_8.9_on_V010_thread_Q4_0027_-116spin	FD15_8.9_on_V010_thread_Q4	-400.417
-18388.289	-178.131	12.544	5.238	13	ON	5.238	13.958	19.49	FD15_8.9_on_V010_thread_N1_0013_-178spin	FD15_8.9_on_V010_thread_N1	-378.807
-18341.096	-166.266	12.383	5.19	1	ON	5.19	13.63	19.549	FD15_8.9_on_V010_thread_Q3_0001_-166spin	FD15_8.9_on_V010_thread_Q3	-331.614
-18360.862	-151.543	12.457	5.297	27	ON	5.297	13.865	19.45	FD15_8.9_on_V010_thread_Q3_0027_-152spin	FD15_8.9_on_V010_thread_Q3	-351.38
-18338.247	-144.421	12.44	5.058	14	ON	5.058	13.63	19.787	FD15_8.9_on_V010_thread_E3_0014_-144spin	FD15_8.9_on_V010_thread_E3	-328.765
-18346.039	-136.066	12.572	5.445	13	ON	5.445	13.978	19.379	FD15_8.9_on_V010_thread_H4_0013_-136spin	FD15_8.9_on_V010_thread_H4	-336.557
-18403.57	-120.457	12.486	5.223	24	ON	5.223	13.871	19.463	FD15_8.9_on_V010_thread_S2_0024_-120spin	FD15_8.9_on_V010_thread_S2	-394.088
-18428.896	-117.37	12.396	5.116	19	ON	5.116	13.811	19.475	FD15_8.9_on_V010_thread_D4_0019_-117spin	FD15_8.9_on_V010_thread_D4	-419.414
