total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-18470.394	-0.466	12.2	4.922	19	ON	4.922	13.718	19.251	FD15_8.7_on_V010_thread_B2_0019_0spin	FD15_8.7_on_V010_thread_B2	-415.911
-18465.447	-0.411	12.467	4.914	23	ON	4.914	13.978	19.888	FD15_8.7_on_V010_thread_T3_0023_0spin	FD15_8.7_on_V010_thread_T3	-410.964
-18456.931	106.534	12.256	4.967	9	ON	4.967	13.913	19.212	FD15_8.7_on_V010_thread_M2_0009_107spin	FD15_8.7_on_V010_thread_M2	-402.448
-18456.705	-71.68	12.263	4.682	4	ON	4.682	13.783	19.707	FD15_8.7_on_V010_thread_J4_0004_-72spin	FD15_8.7_on_V010_thread_J4	-402.222
-18456.356	-0.357	12.375	5.119	20	ON	5.119	13.923	19.391	FD15_8.7_on_V010_thread_G1_0020_0spin	FD15_8.7_on_V010_thread_G1	-401.873
-18455.905	1.121	12.523	5.021	24	ON	5.021	14.166	19.681	FD15_8.7_on_V010_thread_R3_0024_1spin	FD15_8.7_on_V010_thread_R3	-401.422
-18455.726	0.088	12.393	4.997	20	ON	4.997	13.959	19.608	FD15_8.7_on_V010_thread_X1_0020_0spin	FD15_8.7_on_V010_thread_X1	-401.243
-18455.532	-93.933	12.385	4.929	20	ON	4.929	13.983	19.64	FD15_8.7_on_V010_thread_W2_0020_-94spin	FD15_8.7_on_V010_thread_W2	-401.049
-18451.925	0.774	12.477	5.078	11	ON	5.078	14.138	19.404	FD15_8.7_on_V010_thread_F2_0011_1spin	FD15_8.7_on_V010_thread_F2	-397.442
-18451.122	0.966	12.251	4.976	28	ON	4.976	13.898	19.192	FD15_8.7_on_V010_thread_D1_0028_1spin	FD15_8.7_on_V010_thread_D1	-396.639
-18430.189	-178.185	12.482	5.15	9	ON	5.15	14.141	19.404	FD15_8.7_on_V010_thread_R4_0009_-178spin	FD15_8.7_on_V010_thread_R4	-375.706
